product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
38111869,U.S. Polo Assn.,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/9/Ejmu6rQD_a81aeec49bbc43e8b5653873ec8cbc9f.jpg",Rs. 2599,Rs. 3999,(35% OFF),4.3,665,Advertisement,keyword
36551276,Puma,Galaxis Pro Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/8/NNUOJkf4_eae0604368584f5d990e63895588c47b.jpg",Rs. 3499,Rs. 6999,(50% OFF),4.3,3.3k,Advertisement,keyword
29553912,HRX by Hrithik Roshan,Unisex Back To School Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg",Rs. 3699,,,4.2,2.2k,Organic,keyword
39600018,Actual choice,Embroidered Ballerinas,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/24/1kgRFfo1_6efde60cf73b4b32ad25ed0f29ec7ce5.jpg",Rs. 489,Rs. 1999,(76% OFF),,,Organic,keyword
33384081,CULT,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33384081/2025/6/28/934c2543-b352-4ccf-80a9-c3cde7847e9a1751102947074-CULT-Men-Strix-Running-Shoes----BlackBlue-4831751102946582-1.jpg",Rs. 2799,Rs. 4069,(31% OFF),4.3,112,Advertisement,keyword
39078575,HOOH Now Comfort in Fashion,Unisex Kids Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/31/ryqpPIpu_e2eb12133834405bb7691383daa240cd.jpg",Rs. 590,Rs. 1299,(55% OFF),4,66,Organic,keyword
30191547,WROGN,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/28/2I3B3jca_f4bed344731645599970b95cea3efcc7.jpg",Rs. 1154,Rs. 3299,(65% OFF),3.8,25,Organic,keyword
37904137,U.S. Polo Assn.,Men Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/3/enpfhCBF_61b9e34606fe4299908485cd86ee4fdc.jpg",Rs. 2599,Rs. 3999,(35% OFF),3.6,129,Advertisement,keyword
39317209,CORSICA,Party Slim Heeled Pumps with Bows,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/11/PpmcvfyM_f024040a52b64f958a2fcab35f090aff.jpg",Rs. 1305,Rs. 3999,(67% OFF),,,Organic,keyword
24031396,HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24031396/2023/7/15/1e2fc064-de69-4926-a5a5-4e9f1df7a3ec1689363715334SportsShoes1.jpg",Rs. 998,Rs. 2999,(67% OFF),4.3,15.6k,Organic,keyword
